회사명,거래소코드,회계년도,기업규모코드
(주)BNK금융지주,138930,2020/12,90
(주)DB하이텍,000990,2020/12,10
(주)JB금융지주,175330,2020/12,90
(주)KB금융지주,105560,2020/12,90
(주)강원랜드,035250,2020/12,30
(주)녹십자,006280,2020/12,30
(주)녹십자홀딩스,005250,2020/12,30
(주)농심,004370,2020/12,30
(주)대우건설,047040,2020/12,30
(주)대웅,003090,2020/12,30
(주)대웅제약,069620,2020/12,30
(주)대한항공,003490,2020/12,10
(주)더블유게임즈,192080,2020/12,30
(주)동서,026960,2020/12,30
(주)두산,000150,2020/12,10
(주)메리츠금융지주,138040,2020/12,90
(주)보령,003850,2020/12,30
(주)비지에프리테일,282330,2020/12,30
(주)셀트리온,068270,2020/12,10
(주)신세계,004170,2020/12,10
(주)신세계인터내셔날,031430,2020/12,10
(주)신한금융지주회사,055550,2020/12,90
(주)아모레퍼시픽,090430,2020/12,30
(주)아모레퍼시픽그룹,002790,2020/12,30
(주)에스원,012750,2020/12,10
(주)엔씨소프트,036570,2020/12,30
(주)엘에스,006260,2020/12,10
(주)엘엑스인터내셔널,001120,2020/12,10
(주)엘지,003550,2020/12,10
(주)엘지생활건강,051900,2020/12,10
(주)엘지에너지솔루션,373220,2020/12,30
(주)엘지유플러스,032640,2020/12,10
(주)엘지화학,051910,2020/12,10
(주)영원무역,111770,2020/12,30
(주)영풍,000670,2020/12,10
(주)오뚜기,007310,2020/12,30
(주)오리온,271560,2020/12,30
(주)오리온홀딩스,001800,2020/12,90
(주)우리금융지주,316140,2020/12,90
(주)유한양행,000100,2020/12,30
(주)이마트,139480,2020/12,10
(주)제일기획,030000,2020/12,10
(주)종근당,185750,2020/12,30
(주)지누스,013890,2020/12,30
(주)지에스,078930,2020/12,10
(주)지에스리테일,007070,2020/12,10
(주)카카오,035720,2020/12,10
(주)카카오뱅크,323410,2020/12,90
(주)카카오페이,377300,2020/12,90
(주)케이씨씨,002380,2020/12,10
(주)케이티,030200,2020/12,10
(주)케이티앤지,033780,2020/12,10
(주)크래프톤,259960,2020/12,20
(주)포스코인터내셔널,047050,2020/12,10
(주)포스코퓨처엠,003670,2020/12,10
(주)풍산,103140,2020/12,30
(주)하나금융지주,086790,2020/12,90
(주)하나투어,039130,2020/12,30
(주)하이브,352820,2020/12,20
(주)한샘,009240,2020/12,30
(주)한섬,020000,2020/12,10
(주)한솔케미칼,014680,2020/12,30
(주)한진칼,180640,2020/12,10
(주)한화,000880,2020/12,10
(주)현대미포조선,010620,2020/12,10
(주)현대백화점,069960,2020/12,10
(주)현대지에프홀딩스,005440,2020/12,10
(주)현대홈쇼핑,057050,2020/12,10
(주)호텔신라,008770,2020/12,10
(주)화승엔터프라이즈,241590,2020/12,30
(주)효성,004800,2020/12,10
(주)후성,093370,2020/12,30
(주)휠라홀딩스,081660,2020/12,30
DB손해보험(주),005830,2020/12,10
HD현대(주),267250,2020/12,10
KG스틸(주),016380,2020/12,30
LG이노텍(주),011070,2020/12,10
LS일렉트릭(주),010120,2020/12,10
OCI(주),010060,2020/12,30
SK이노베이션(주),096770,2020/12,10
고려아연(주),010130,2020/12,10
그랜드코리아레저(주),114090,2020/12,30
금호석유화학(주),011780,2020/12,30
금호타이어(주),073240,2020/12,30
기아(주),000270,2020/12,10
네이버(주),035420,2020/12,10
넷마블(주),251270,2020/12,10
대상(주),001680,2020/12,30
대우조선해양(주),042660,2020/12,10
대한유화(주),006650,2020/12,30
대한전선(주),001440,2020/12,30
동국제강(주),001230,2020/12,30
동원산업(주),006040,2020/12,30
동원시스템즈(주),014820,2020/12,30
두산밥캣(주),241560,2020/12,10
두산에너빌리티(주),034020,2020/12,10
두산퓨얼셀(주),336260,2020/12,10
디엘(주),000210,2020/12,10
롯데관광개발(주),032350,2020/12,30
롯데쇼핑(주),023530,2020/12,10
롯데에너지머티리얼즈(주),020150,2020/12,30
롯데웰푸드(주),280360,2020/12,10
롯데정밀화학(주),004000,2020/12,10
롯데지주(주),004990,2020/12,10
롯데칠성음료(주),005300,2020/12,10
롯데케미칼(주),011170,2020/12,10
메리츠증권(주),008560,2020/12,90
명신산업(주),009900,2020/12,30
미래에셋증권(주),006800,2020/12,10
삼성SDI(주),006400,2020/12,10
삼성물산(주),028260,2020/12,10
삼성바이오로직스(주),207940,2020/12,10
삼성생명보험(주),032830,2020/12,10
삼성에스디에스(주),018260,2020/12,10
삼성엔지니어링(주),028050,2020/12,10
삼성전기(주),009150,2020/12,10
삼성전자(주),005930,2020/12,10
삼성중공업(주),010140,2020/12,10
삼성증권(주),016360,2020/12,10
삼성카드(주),029780,2020/12,10
삼성화재해상보험(주),000810,2020/12,10
세방전지(주),004490,2020/12,30
신풍제약(주),019170,2020/12,30
쌍용씨앤이(주),003410,2020/12,30
씨에스윈드(주),112610,2020/12,30
씨제이(주),001040,2020/12,10
씨제이대한통운(주),000120,2020/12,10
씨제이제일제당(주),097950,2020/12,10
아시아나항공(주),020560,2020/12,10
아이에스동서(주),010780,2020/12,30
에스디바이오센서(주),137310,2020/12,30
에스엘(주),005850,2020/12,30
에스케이(주),034730,2020/12,10
에스케이네트웍스(주),001740,2020/12,10
에스케이바이오사이언스(주),302440,2020/12,10
에스케이바이오팜(주),326030,2020/12,10
에스케이씨(주),011790,2020/12,10
에스케이아이이테크놀로지(주),361610,2020/12,10
에스케이케미칼(주),285130,2020/12,10
에스케이텔레콤(주),017670,2020/12,10
에스케이하이닉스(주),000660,2020/12,10
에쓰-오일(주),010950,2020/12,10
에이치디씨현대산업개발(주),294870,2020/12,10
에이치디한국조선해양(주),009540,2020/12,10
에이치디현대인프라코어(주),042670,2020/12,10
에이치디현대중공업(주),329180,2020/12,30
에이치엘만도(주),204320,2020/12,30
에이치엠엠(주),011200,2020/12,30
엔에이치투자증권(주),005940,2020/12,10
엘아이지넥스원(주),079550,2020/12,30
엘지디스플레이(주),034220,2020/12,10
엘지전자(주),066570,2020/12,10
일진하이솔루스(주),271940,2020/12,20
중소기업은행,024110,2020/12,90
지에스건설(주),006360,2020/12,10
케이카(주),381970,2020/12,30
코스맥스(주),192820,2020/12,30
코오롱인더스트리(주),120110,2020/12,10
코웨이(주),021240,2020/12,10
쿠쿠홈시스(주),284740,2020/12,30
키움증권(주),039490,2020/12,90
태광산업(주),003240,2020/12,30
티케이지휴켐스(주),069260,2020/12,30
팬오션(주),028670,2020/12,10
포스코홀딩스(주),005490,2020/12,10
피아이첨단소재(주),178920,2020/12,30
하이트진로(주),000080,2020/12,30
한국가스공사(주),036460,2020/12,30
한국앤컴퍼니(주),000240,2020/12,30
한국전력공사(주),015760,2020/12,30
한국전력기술(주),052690,2020/12,30
한국콜마(주),161890,2020/12,30
한국타이어앤테크놀로지(주),161390,2020/12,30
한국투자금융지주(주),071050,2020/12,10
한국항공우주산업(주),047810,2020/12,30
한미사이언스(주),008930,2020/12,30
한미약품(주),128940,2020/12,30
한세실업(주),105630,2020/12,30
한온시스템(주),018880,2020/12,30
한올바이오파마(주),009420,2020/12,30
한일시멘트(주),300720,2020/12,30
한전케이피에스(주),051600,2020/12,30
한화생명보험(주),088350,2020/12,10
한화솔루션(주),009830,2020/12,10
한화시스템(주),272210,2020/12,10
한화에어로스페이스(주),012450,2020/12,10
현대건설(주),000720,2020/12,10
현대글로비스(주),086280,2020/12,10
현대로템(주),064350,2020/12,10
현대모비스(주),012330,2020/12,10
현대엘리베이터(주),017800,2020/12,30
현대위아(주),011210,2020/12,10
현대자동차(주),005380,2020/12,10
현대제철(주),004020,2020/12,10
현대해상화재보험(주),001450,2020/12,90
효성첨단소재(주),298050,2020/12,10
효성티앤씨(주),298020,2020/12,10
